,content,sentiment
53,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",worry
54,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,sadness
55,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness
56,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",worry
57,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sadness
58,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,worry
60,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,worry
61,I can't sleep...I keep thinking about the puppy I played with today,worry
62,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,worry
63,"Last one month due to summer, strawberry is not availble in the Chennai markets!",worry
64,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,love
65,@sweeetnspicy hiii im on my ipod...i cant fall asleep,sadness
66,dont wanna work 11-830 tomorrow  but i get paid,sadness
67,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
69,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),worry
71,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sadness
72,Oh no one minute too late! Oh well,worry
74,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sadness
76,ahh! big scary bug flying around my room!!!!!,worry
77,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sadness
78,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,worry
79,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,sadness
80,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,sadness
82,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,love
83,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",worry
85,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sadness
86,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happiness
87,Is miserable  i feel like im gona cry  sux!,sadness
88,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,worry
89,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,love
90,*sigh* I'm going to bed... I just don't feel right anymore...,sadness
91,Now I am depressed after watching so you think you can dance,sadness
92,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sadness
93,"I cant sleep, but im too sore to move",worry
94,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,worry
95,@omfgiselle i cant do anything,worry
98,"Last day working for the Uni today, sad times",sadness
99,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",love
100,My head hurts so bad I could scream!,worry
101,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,worry
102,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,worry
103,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,worry
104,oh men!!!!!!......I really can't see my face........c'mon guys!!!,worry
105,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",worry
106,my sole supporter is not my sole supporter,worry
108,@Emilyyy16 urgh stop it guys,worry
109,is still missing her husband.    I really want him home.,sadness
110,I miss my puppy,sadness
111,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
113,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),sadness
114,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,worry
115,@BarbSchaefer yearling in pet home died... very sad for their whole family,sadness
116,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,worry
117,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",sadness
118,is feeling sad... for some reason..  http://plurk.com/p/wxji3,worry
119,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
120,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
121,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",worry
124,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
125,@jertronic it wont let me,worry
126,Took a shift tomorrow.    I don't really feel like working right now.,sadness
127,but now i have no money for a phone,sadness
128,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,worry
129,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,worry
130,@Bern_morley where are you? In Bris? I can't hear any thunder,surprise
131,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",surprise
132,Too bad the Red Devils.. disappointing to say the least,sadness
133,I had a dream about a pretty pretty beach and there was no beach when I woke up,surprise
134,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",sadness
135,when da heck will the garage man get here I ask you.. WHEN..,surprise
136,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",worry
138,why are plane tickets so expensive,worry
140,Needs a job BADLY!!!,worry
141,@AlexanderGWhite daaammmnnnnn I do wish I was there.,sadness
142,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,worry
143,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sadness
144,is a bad friend,sadness
147,@bobbyedner i missed the game,love
148,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",sadness
150,@lenje - Still a pity it comes with no lamb though,sadness
151,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sadness
155,people in my house do not know how to close doors,worry
156,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,surprise
157,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,worry
158,Had to cancel wow for now,sadness
159,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,worry
160,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sadness
161,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",worry
162,@__sugar oh no  i am always here ;) &lt;3,worry
163,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happiness
164,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happiness
165,Up late with nothin 2 do.....,sadness
166,i think the vog is making me sicker than i think. feeling slightly achy,worry
167,i am doing homework it sux big time maths is the worst!!!!!!,worry
168,sometimes i wish things could go back to the way they were the beginning of last summer,sadness
169,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",worry
170,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",sadness
171,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",happiness
172,i'm sooooooooooooo confused,worry
173,"Work day 7 of 7,",worry
174,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happiness
175,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",worry
176,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
177,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",surprise
179,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,worry
180,@FoxxFiles aw u can't let me in on the secret!,surprise
181,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",surprise
182,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",worry
185,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,worry
186,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
187,It's pissing me off and not letting me follow ericka,sadness
188,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
189,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
190,is thinking so much and i'm at work,surprise
191,I have forgot the live with the Jonas Brothers on Facebook,worry
192,I haven't seen Muffin in two whole days!,sadness
193,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,sadness
194,my gap year is going so quick,surprise
195,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",worry
196,my twitter has been hacked again,worry
197,Just found mj mouse flats at DJs. Of course there are none left in my size,sadness
199,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",worry
201,@qi_tah oh no.  *hugs*,surprise
202,@xoshayzers i knoww  things won't be the samee &lt;/3,sadness
203,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",worry
204,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,happiness
205,"Okay, so twitter suddenly changed, how do I respond to messages now",worry
206,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,worry
207,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
209,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,worry
210,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,sadness
212,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,sadness
213,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
216,my teeth and head hurts,sadness
217,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness
219,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,worry
220,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,worry
221,I need to be held...  Gnite.,worry
222,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",worry
223,no more arrested development. i am sad.,sadness
224,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
225,I feel so deflated. No more doggy.,sadness
226,@blood_rain i wanna see her hair  hows everyone?,worry
227,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
228,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
229,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
230,Aww...  Pray for the arroyo family everyone!,worry
231,Fuuudge. Movie store is closed,sadness
232,ALO is so sad and quiet and empty tonight,sadness
234,@wuzzyangel You never answered your DM I sent you....   I need your info...,worry
235,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,worry
236,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,sadness
237,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,worry
238,@jose3030 I didn't think anyone caught that,worry
239,Sad that Christian Lacroix had to file bankruptcy,sadness
240,I dont feel good AT ALL. fuckkk,sadness
241,looks like i'll never go to the zoo,worry
242,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,worry
243,@Moss1982 bad times?,worry
245,Have to go to the dreaded DMV tomorrow,sadness
246,english class! working on interactive orals,happiness
247,@SharonHayes Thank you for the rec but that doesn't work,worry
248,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,worry
249,I don't know how ima work out tomorrow wit my body dis sore  ugh,worry
250,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,worry
251,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
252,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,worry
253,"Lady across the way had a miscarriage, say a prayer",worry
254,God I just want to sleep.,sadness
256,I feel so deflated. No more doggy.,worry
257,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
259,is feeling bad  just got bad news about my Mum,worry
260,@RealBlackWidow But but I dun wanna,sadness
261,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sadness
262,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
263,don't feel like working  I think I tweet this too often!,worry
264,feels sick to my stomach and idkk whyy,sadness
265,vineri...nimic special sau probabil un alt weekend pierdut...,worry
266,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,surprise
268,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",sadness
269,"got to final table, but....went out third.  Don't think I'll be getting my free seat",worry
271,FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
272,@judyrey  The link doesn't work,sadness
273,The humpalow um ya I think so... Cell is dying,worry
274,Last day at work...Sick to the bone,worry
275,i feel like I'm on house arrest.,worry
276,@heavenjones ur supposed to be in BK tho,surprise
277,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,worry
278,Oh no!  Nighty night.,surprise
279,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happiness
280,my stupid tooooth hurts,sadness
281,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,love
282,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness
283,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,worry
284,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,worry
285,my dog ran awayyy,worry
287,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",worry
289,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,worry
290,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,love
291,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
293,@Penguin_J heehee. i love you! i am tired.,sadness
294,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,worry
295,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry
296,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",worry
297,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
298,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
300,@charloro jealous  it looks like schindler's list in toronto,worry
303,@joiskol  being in your room makes me sad.,sadness
304,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",worry
305,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,sadness
306,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness
307,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,surprise
308,@meljachin: eww. dislike,sadness
309,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,worry
310,"@SuzyDunkley sorry bout the cat,",sadness
311,my stomach feels like it's touching the ground..i'm SO full,worry
312,Pug just woke me from an incredible sleep!,love
313,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,love
314,Sooo much work so little time,worry
315,missed iron chef,sadness
316,@thevowel the DS version sucks,sadness
317,what a bad day,sadness
320,"Ugh, my internet was down!",worry
321,omg i didnt tweet all that much today.... *sadness*,surprise
322,is feeling so giddy and wanna go home.,worry
323,Up and packing. Its the last day of youth camp,worry
324,Somebody please save the polar bears!,worry
325,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,happiness
326,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work,surprise
327,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,worry
328,guess im staying home tonight...no movie-ing for me,worry
329,went to the cd store to search for the cd. But,sadness
330,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,worry
331,I miss my mom..  &quot;May angels lead you in&quot;,sadness
332,there's really no android twitter app of Tweetie's calibre,love
334,@chocolovere i feel the same way every day,sadness
335,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness
336,Sleppytime. Really missing my godfather right now. Love you Wayne,sadness
337,So have a headache right now and it sucks,sadness
338,@JayDz hope ya sleepin well  guys still here,worry
340,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",sadness
341,"comfort food of the day: pan mee. though, it didnt taste any good..",sadness
342,damn being drunk and hot sucks,worry
343,misses my baby.,sadness
344,is not sleeping because he has paperwork to do.,worry
345,Showered in ice-cold water. Sweating now. Means one thing: I'm sick,worry
346,"midnight cry.. wish the person I wanted, wanted me right now",worry
347,I'm poorly and can't sleep,sadness
348,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,worry
349,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",worry
350,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,worry
351,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",worry
352,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,worry
353,didnt say goodnight to you,worry
355,has work tom.,sadness
356,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",love
357,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
359,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,worry
360,@ModelTheany  tee we beefin....what was u supposed to do before leavin????,surprise
361,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness
362,@nickkk_ that sucks!,sadness
363,Having Fever  dont feel to work,sadness
364,"Taking Horse Pills, hoping I can get some sleep tonight",worry
365,missing @MeLDiBiAsE...6 days can't pass quick enough,sadness
367,"Working from home today, my back is killing me  Doctor and then physio after later today.",sadness
368,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",happiness
369,"Looks like it's going to be too nice to work today, how annoying as I have no choice",worry
370,is desperatly hoping my dad takes me to vanessa's game,worry
371,@pb_and_jay hi!  Fuck your job!,worry
372,Missing you all deeply,sadness
373,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",happiness
374,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you.",sadness
375,Somebody please save the polar bears!,worry
376,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",worry
377,I don't want her to leave..,sadness
379,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",happiness
381,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,worry
382,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,worry
383,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",sadness
384,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.,surprise
385,@WillyNorthpole I wish I was there,sadness
386,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",sadness
387,morning again! I hate mornings. So offensive!,sadness
388,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,sadness
389,@brianshead waah. We're no longer your peeps.,sadness
390,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,sadness
391,Extremly deep,surprise
392,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,happiness
394,hoping i didn't fail english. that would just be sad,worry
395,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,worry
396,@MariusLT I'm sorry about your bad driving experiences.,sadness
397,Already misses @CMontecillo,sadness
400,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!,surprise
401,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,worry
402,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,sadness
403,@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,worry
404,@astynes Me too.  Wonder if Mnet will show it...,surprise
406,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",worry
407,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,sadness
408,"First my work computer, now my home laptop is fucked.",sadness
409,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,worry
410,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,worry
411,@debbylovespr I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.,worry
412,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,worry
413,I'm bummed that I can't wear my sweet Nike kicks to work.,worry
414,@Pickleybaby - your twitter is broken,worry
415,@joek949 It's depressing I'm stuck inside all day,sadness
416,@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,worry
417,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,sadness
418,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,happiness
419,"Woke Up,I Wanna Stay In My bed",sadness
420,depressed that i wasn't included in the morcom gardens quiz on facebook,worry
421,"@dravenreborn yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",worry
422,Upsidedown tomato plants died!,sadness
423,@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,worry
424,"@vocabularies i know, don't tell anyone  i dont know if my dad told the famz yet. i think i'm taking it online.",worry
425,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,sadness
426,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",happiness
427,My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,worry
428,@RDeRozario woops! I only just realized my DMs to you are not going through,worry
429,I cant use my blackberry today. This sucks.,surprise
431,@prncsztalia why do you hate me!?,sadness
433,http://twitpic.com/663vr - Wanted to visit the animals but we were too late,sadness
434,@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,worry
435,#jonaswebcast i just missed it!!!!,sadness
437,So exhausted..can't sleep. I don't like these nights,sadness
438,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
439,lol i cant drink!!,surprise
440,"if bill compton has wii, why can't he have twitter?",surprise
441,@NothinButSin sorry to hear that.,sadness
442,"Morning ;Sports day today, and I have to do the three-legged race with @Weefeetfrankie  ; Mr Pettigrew said I'm not aloud to trip her up",worry
443,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,sadness
444,Cannot sleep. 2+ hours of tossing and turning.,worry
445,Omg going to die of swine flu when I go to Melbourne,worry
447,finished a whole box of ice cream,sadness
448,@crispynoodles plus I just deposited tax return cheque but for first time in 7+ years it didn't clear immediately,worry
449,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,love
450,@AshleighRyder I knooww  &amp; my hot water bottle iss in whangamata without me. ahhhhh,worry
